Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days)
casperjs,casperjs,14737506.0,162014788.0,1372618.6799999902,1.1524651997503121,493231.51601334836,dead,1875.1711574074075
GoQuiet,cbeuw,13740569.0,139145256.0,8231288.000000002,3.200458348973974,1491783.3675710293,dead,1610.4775
QLScript2,ccwav,3121317.0,5084025.0,1935726.7600000037,1.7201738657973376,349969.7129536425,unknown,58.84288194444444
cdQA,cdqa-suite,7925684.0,110540991.0,1787711.9200000002,1.9037801485961767,599701.3810816277,dead,1279.4096180555555
celery,celery,1768609.0,669227.0,485978.48,0.4290508912308971,99047.97398706785,unknown,7.74568287037037
certbot,certbot,11234277.0,1904.0,445570.30999999994,0.3852848181399631,218157.7456973146,alive,0.022037037037037036
CNPROG,chagel,5099333.0,428535400.0,5072818.13,4.387094907407407,1153220.9469088926,dead,4959.900462962963
ai_quant_trade,charliedream1,3674536.0,10577410.0,1149250.9000000001,1.2080496600115742,276875.31448540476,dead,122.42372685185185
Chart,chartjs,12444637.0,126710.0,898662.0,0.8665180861715156,309988.0704466691,alive,1.466550925925926
linux-sysadmin-interview-questions,chassing,15520051.0,136549990.0,12471435.1,17.736796901067734,3082331.411138539,dead,1580.439699074074
cheerio,cheeriojs,22116391.0,72647.0,2019648.8500000022,1.5768215340698353,656239.3946857651,alive,0.8408217592592593
Ros_Qt5_Gui_App,chengyangkj,16505599.0,116873.0,11333739.369999979,7.843410192418982,2321768.9387543127,alive,1.3526967592592594
QrCodeScan,chentao0707,193643383.0,90865192.0,176845052.38000003,241.07412615740742,60760157.69023333,alive,1051.680462962963
iOSInterviewQuestions,ChenYilong,29851626.0,5139327.0,22340833.0,9.816912067798695,3514650.20292747,alive,59.482951388888885
quickadd,chhoumann,8984795.0,2266011.0,2861240.9600000023,1.469946482444316,625875.4806571443,alive,26.226979166666666
quotebox,chilah,1073.0,128075532.0,1070.3,0.01085648148148148,190.91883092036784,dead,1482.3556944444445
php-qrcode,chillerlan,23283661.0,189897.0,4941768.469999938,2.705147027587044,1279626.8344709028,alive,2.1978819444444446
JavaQuarkBBS,ChinaLHR,74570996.0,115205239.0,50902081.94000012,27.972444852941177,12759479.66792293,unknown,1333.3939699074074
marked,chjj,20585795.0,79054.0,1752538.9500000055,1.4031097478779657,564959.6308696226,alive,0.9149768518518518
flatpickr,chmln,58250875.0,34558829.0,1853263.7999999865,1.247364038956088,1211936.6185994113,unknown,399.98644675925925
jQuery-,chokcoco,14952049.0,186524090.0,12705554.519999994,6.391288940809969,2221473.2010318353,dead,2158.843634259259
uBlock,chrisaljoudi,86542052.0,36125566.0,631384.1999999904,1.0787053684392771,1927012.4351508035,unknown,418.11997685185185
quiz-app,chrisblakely01,363081.0,100362298.0,360022.02999999997,2.4320891203703705,216301.84304462132,dead,1161.6006712962962
validator,chriso,7988646.0,6433980.0,2693621.649999992,2.1167711252919585,551026.8749486211,unknown,74.46736111111112
Hack,chrissimpkins,32109216.0,92800818.0,1532986.1000000024,1.4558577069716776,1349640.355515249,dead,1074.0835416666666
quick-cocos2d-x,chukong,28528762.0,216826296.0,552098.5900000015,0.6705980845847986,633567.9166534201,dead,2509.563611111111
qrbtf,ciaochaos,29113012.0,11381340.0,3641627.2499999856,2.913334097104719,2104643.889211501,unknown,131.72847222222222
QAuxiliary,cinit,2018142.0,251094.0,340451.54000000004,0.35873737787984833,82607.87901851938,alive,2.9061805555555558
pythondict-quant,Ckend,12713681.0,56548637.0,12033932.510000002,22.705290591931217,3553927.841686355,dead,654.4981134259259
Q2TG,Clansty,5113288.0,1250489.0,2889933.519999995,2.1223188072654535,570101.2667934342,alive,14.473252314814815
qrcp,claudiodangelis,27081928.0,16036446.0,17054388.919999998,8.429923934578683,3017364.0559423934,alive,185.6070138888889
clojurescript,clojure,6677753.0,2861782.0,842768.0999999995,0.7322087652664052,245676.54963571663,unknown,33.12247685185185
quiche,cloudflare,2126957.0,25721.0,929167.6000000001,1.0359388938389713,200713.44843222186,alive,0.29769675925925926
cmder,cmderdev,4572792.0,572235.0,2534621.099999998,2.250182407684465,493970.1345519119,alive,6.623090277777778
QuickQanava,cneben,11309769.0,197755.0,3139432.7999999947,2.2442091484615156,705268.3816985996,alive,2.2888310185185183
