Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days),Status,Last_Commit_Date
QuantumultX-Rewrite,deezertidal,14411.0,4567.0,14407.8,0.09483556832694763,2510.7200927694935,alive,0.0528587962962963,True,2024-03-15T18:47:18Z
awesome-quantum-computing,desireevl,20881708.0,6987446.0,11361468.799999984,22.745669699872288,4690041.31535065,alive,80.8732175925926,False,2023-08-12T03:02:34Z
jQuery-Autocomplete,devbridge,85441278.0,1811323.0,19578160.19999999,67.56782966155811,16372397.518003821,alive,20.964386574074073,False,2023-10-11T00:51:17Z
preact,developit,677785.0,13288.0,430827.99999999953,1.0507068167305238,165506.1338392739,alive,0.1537962962962963,True,2024-03-02T09:05:57Z
go-qemu,digitalocean,30916450.0,9704224.0,17289002.2,39.27792943805875,7191108.541735836,alive,112.3174074074074,False,2023-07-11T16:22:56Z
QualityScaler,Djdefrag,3908646.0,318028.0,2979185.999999998,5.794857918263091,1041673.8688551743,alive,3.68087962962963,True,2024-03-08T13:21:54Z
open-source-ios-apps,dkhamsing,175118.0,32948.0,147046.39999999988,0.4521036877394636,55147.07331611092,alive,0.38134259259259257,True,2024-03-14T12:19:51Z
xgboost,dmlc,237401.0,10141.0,170428.4,0.6042149584929757,61355.07441761147,alive,0.11737268518518519,True,2024-03-15T10:43:49Z
compose,docker,218944.0,47358.0,119504.99999999993,0.45008700510855687,50171.86412410039,alive,0.548125,True,2024-03-15T12:02:46Z
dokku,dokku,131677.0,37782.0,108252.19999999992,0.29271431992337166,37213.716912892574,alive,0.4372916666666667,True,2024-03-13T03:24:14Z
Damn-Vulnerable-GraphQL-Application,dolevf,9496095.0,1376648.0,6041272.399999999,16.05128631864623,2472519.321021833,alive,15.933425925925926,verify,2024-01-14T01:59:03Z
go-quai,dominant-strategies,191111.0,105759.0,152314.39999999985,0.3318103448275862,49855.49976361488,alive,1.2240625,True,2024-03-05T22:03:43Z
