Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days),Status,Last_Commit_Date
kaggle-quora-question-pairs,HouJP,13669259.0,185044106.0,1017794.1999999981,6.556532167943805,2534689.52579207,dead,2141.7141898148147,False,2017-12-20T06:51:34Z
botkit,howdyai,3301866.0,49007267.0,1187056.9999999995,2.8537180715197956,678757.57522143,dead,567.213738425926,False,2022-04-12T18:52:13Z
quora,huacnlee,1575684.0,380569967.0,800899.2,1.8896451947637292,349938.6966511089,dead,4404.744988425926,False,2011-10-10T06:07:13Z
huginn,huginn,599258.0,8674303.0,398967.1999999999,0.8991698595146872,154077.8286356088,dead,100.39702546296296,True,2024-02-23T19:13:30Z
QuantsPlaybook,hugo2046,972594.0,6819520.0,713158.9999999997,1.1868219189016602,253703.03702297257,dead,78.92962962962963,False,2023-08-14T01:41:20Z
QuranOnAndroid,hussien89aa,93687545.0,136757386.0,58853335.39999997,130.68655992798355,30974326.18517781,dead,1582.8401157407407,False,2019-07-02T03:50:14Z
notion-qa,hwchase17,11762473.0,13911651.0,10910847.899999999,63.588368055555556,5500518.322550976,dead,161.01447916666666,False,2023-05-23T23:39:09Z
qr,iAJue,298918.0,133832538.0,292237.6,1.7003356481481482,141674.6520976847,dead,1548.9877083333333,False,2019-08-05T00:17:42Z
data-science-interview-questions-and-answers,iamtodor,24154710.0,41348093.0,21531328.39999999,51.575136893358874,8007651.041701699,dead,478.5658912037037,False,2022-07-10T10:25:07Z
jQuery-Parallax,IanLunn,42734189.0,281969292.0,35207808.59999999,75.46091049382716,13348955.276376305,dead,3263.5334722222224,False,2014-11-24T11:11:48Z
TaskQueue,icanzilb,44101856.0,175944609.0,5797777.799999998,25.035338441890165,8210802.652090617,dead,2036.3959375,False,2018-04-04T14:29:51Z
Quake,id-Software,5468.0,370749403.0,5468.0,0.06328703703703703,,dead,4291.08105324074,False,2012-01-31T22:03:17Z
image-quality-assessment,idealo,10913811.0,125576129.0,6860607.199999989,12.144398148148149,2597740.0165562592,dead,1453.4274189814814,False,2019-11-08T13:44:31Z
jQuery-Mask-Plugin,igorescobar,24210191.0,113736553.0,14943479.19999997,25.962232199872286,5815804.421686403,dead,1316.395289351852,False,2020-03-24T14:30:47Z
java-design-patterns,iluwatar,257531.0,314299.0,113664.3999999999,0.19337005108556835,54475.13109475406,dead,3.6377199074074076,True,2024-03-13T18:21:03Z
qb-vehicleshop,ImpulseFPS,2589241.0,75672546.0,1617048.0999999985,4.227912037037036,714811.9281046488,dead,875.8396527777778,False,2021-06-08T03:50:54Z
JavaInterviewQuestionsAndAnswers,in28minutes,25771421.0,116020947.0,20735725.199999988,50.99362627713921,7533170.726190397,dead,1342.8350347222222,False,2023-11-15T00:47:29Z
readpilot,index-labs,502955.0,23012313.0,334079.9999999992,0.5984414910600255,126321.08548549602,dead,266.3462152777778,False,2023-02-07T15:41:27Z
prometheus-example-queries,infinityworks,31438828.0,96915466.0,29259167.999999996,92.23620061728396,11412433.206146222,dead,1121.7067824074074,False,2020-10-05T07:02:14Z
jQuery-webcam,infusion,86668823.0,189755833.0,32139876.649999987,92.7399718915344,17772382.659108724,dead,2196.24806712963,False,2017-10-26T18:02:47Z
quakejs,inolen,86797287.0,145227577.0,44714857.59999988,70.21536398467433,19919856.13271556,dead,1680.8747337962964,False,2019-03-26T03:00:23Z
qrpay,insoxin,33007786.0,45238812.0,20444493.599999983,37.31555755108557,7733701.148562496,dead,523.5973611111111,False,2022-05-26T09:39:48Z
instapy-quickstart,InstaPy,13882411.0,98338570.0,4940856.799999995,17.162927442528737,2755146.4512602715,dead,1138.1778935185184,False,2020-09-18T19:43:50Z
Qigsaw,iqiyi,5399280.0,72565825.0,4861088.999999998,11.41328583971903,1571046.882827211,dead,839.8822337962963,False,2021-07-14T02:49:35Z
2023_IonQ_Remote,iQuHACK,27290.0,23827698.0,22577.899999999987,0.0920056216931217,9791.126317815973,dead,275.7835416666667,False,2023-01-29T05:11:42Z
toxcore,irungentoo,49134370.0,160226158.0,12537152.99999999,33.18440014367816,9430064.332786676,dead,1854.4694212962963,False,2018-10-03T12:44:02Z
isucon7-qualify,isucon,11139666.0,166902243.0,10331154.45,33.51478298611111,4523443.785391889,dead,1931.7389236111112,False,2018-07-18T06:15:57Z
isucon9-qualify,isucon,24905634.0,97237723.0,3198365.999999997,13.428277059386973,4651058.630334717,dead,1125.4366087962962,True,2024-03-10T03:39:21Z
int-buzzfeed-quiz-18-19-starter,itscodenation,7834051.0,154835351.0,6412069.899999997,17.518957175925927,2676289.5417827372,dead,1792.0758217592593,False,2018-12-04T22:10:49Z
React-Questions,itwk,31223.0,87600740.0,28119.899999999998,0.12135416666666667,17959.795628013144,dead,1013.8974537037037,False,2021-01-21T02:27:40Z
iview,iview,5849869.0,105309629.0,3083229.399999997,6.999898227969349,1317729.8746365546,dead,1218.8614467592593,False,2020-06-30T03:19:31Z
quicksort17,j-michaliszyn,2243.0,222086734.0,1931.1999999999998,0.007847222222222222,905.863400298301,dead,2570.448310185185,False,2016-10-17T13:14:26Z
qucsdk,jack416,2042.0,128105133.0,1142.75,0.004486400462962963,482.1739485566041,dead,1482.698298611111,False,2019-10-10T07:14:27Z
