Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Classification,TimeSinceLastCommit(days),Is_Alive,Status,Last_Commit_Date
quickcheck,BurntSushi,74145620.0,1851215.0,1854305.0499999973,5.724278700677802,3346821.6010473953,alive,21.426099537037036,False,False,2023-10-10T13:46:25Z
qtcanpool,canpool,127960977.00000001,120906.0,1577860.8999999953,15.777933838038859,11631652.100472966,alive,1.399375,True,verify,2024-01-18T13:26:22Z
carrierwave,carrierwaveuploader,8725426.0,172304.0,905121.0999999976,2.103360304353328,505886.8389851667,alive,1.9942592592592592,True,True,2024-02-12T13:39:59Z
certbot,certbot,11234277.0,1904.0,150210.6999999998,0.3852848181399631,218157.74569731372,alive,0.022037037037037036,True,True,2024-02-08T21:31:36Z
Chart,chartjs,12444637.0,126710.0,342936.25,0.8665180861715156,309988.0704466691,alive,1.466550925925926,,Error,
cheerio,cheeriojs,22116391.0,72647.0,461920.5,1.5768215340698353,656239.3946857647,alive,0.8408217592592593,True,True,2024-02-27T03:58:05Z
Ros_Qt5_Gui_App,chengyangkj,16505599.000000002,116873.0,2355535.1499999985,7.843410192418982,2321768.9387543146,alive,1.3526967592592594,True,True,2024-02-26T14:45:23Z
QrCodeScan,chentao0707,193643383.0,90865192.0,109651729.8999998,241.07412615740742,60760157.69023333,alive,1051.680462962963,False,False,2020-12-14T07:40:08Z
php-qrcode,chillerlan,23283661.0,189897.0,960227.6499999999,2.705147027587044,1279626.8344709028,alive,2.1978819444444446,True,True,2024-02-16T10:10:16Z
marked,chjj,20585795.0,79054.0,594691.7,1.4031097478779657,564959.6308696234,alive,0.9149768518518518,True,True,2024-02-26T02:52:22Z
quiche,cloudflare,2126957.0,25721.0,419460.799999999,1.0359388938389713,200713.44843222183,alive,0.29769675925925926,True,True,2024-02-22T15:31:31Z
cmder,cmderdev,4572792.0,572235.0,1142390.5,2.250182407684465,493970.134551912,alive,6.623090277777778,True,True,2024-02-06T19:43:29Z
QuickQanava,cneben,11309769.0,197755.0,1227577.0,2.2442091484615156,705268.3816985993,alive,2.2888310185185183,True,True,2024-02-21T15:03:33Z
CocoaLumberjack,CocoaLumberjack,5910183.0,56051.0,1057546.0,2.147179482149468,550216.8523256297,alive,0.6487384259259259,True,True,2024-02-14T09:10:06Z
wsl2-docker-quickstart,codeedu,12161329.0,7263985.0,7802332.249999994,17.57875415943287,2767127.0774354567,alive,84.07390046296297,True,True,2024-02-09T11:19:37Z
quote-server,CodeYourFuture,50049283.0,7741268.0,13437807.199999988,32.91184325396826,8939234.66422632,alive,89.59800925925926,False,False,2023-08-03T09:38:52Z
QDarkStyleSheet,ColinDuquesnoy,22909892.0,535375.0,1932838.399999994,4.772260152696556,1953756.292669788,alive,6.196469907407407,False,verify,2023-11-28T19:48:19Z
quickfixn,connamara,60567346.00000001,434253.0,1018850.2999999996,2.8840583536833537,1684766.9050365733,alive,5.026076388888889,True,True,2024-02-23T22:51:49Z
quickbooks-php,consolibyte,47952982.0,591882.0,2382446.999999999,7.81217567778345,2950760.5487303687,alive,6.8504861111111115,False,False,2023-11-07T16:17:04Z
nvm,creationix,14669989.0,523248.0,919035.4000000001,2.2897441207136238,581443.6226152432,alive,6.056111111111111,True,True,2024-02-13T11:39:07Z
